# %ECSV 0.9
# ---
# datatype:
# - {name: Source_Name, datatype: string}
# - {name: RAJ2000, unit: deg, datatype: float32}
# - {name: DEJ2000, unit: deg, datatype: float32}
# - {name: Pivot_Energy, unit: GeV, datatype: float32, format: '{0:.1f}'}
# - {name: PL_Flux_Density, unit: ph / (cm2 GeV s), datatype: float32, format: '{0:.4e}'}
# - {name: PL_Index, datatype: float32, format: '{0:.4f}'}
# - {name: LP_Flux_Density, unit: ph / (cm2 GeV s), datatype: float32, format: '{0:.4e}'}
# - {name: LP_Index, datatype: float32, format: '{0:.4f}'}
# - {name: LP_Beta, datatype: float32, format: '{0:.6f}'}
# - {name: Redshift, datatype: float32, format: '{0:.3f}'}
# schema: astropy-2.0
Source_Name RAJ2000 DEJ2000 Pivot_Energy PL_Flux_Density PL_Index LP_Flux_Density LP_Index LP_Beta Redshift
J0805.5+7534 121.393 75.5765 22.3 2.7437e-12 3.1029 2.7437e-12 3.1029 0.001444 0.121
J0808.2-0751 122.07 -7.85792 16.1 1.6591e-11 3.2078 1.6591e-11 3.2078 0.000760 1.837
J0809.7+3457 122.43 34.958 38.7 2.9470e-13 1.5643 2.9470e-13 1.5643 0.003896 0.083
J0809.8+5218 122.459 52.3104 22.6 7.8703e-12 3.0970 7.8703e-12 3.0970 0.001443 0.138
J0811.4+0147 122.851 1.78696 19.8 4.0570e-12 3.1059 4.0570e-12 3.1059 0.001445 1.148
J0814.5+2941 123.637 29.6864 21.0 4.0298e-13 3.1239 4.0298e-13 3.1239 0.001412 1.084
J0814.6+6429 123.653 64.4911 19.9 2.1066e-12 3.2086 2.1066e-12 3.2086 0.000760 0.239
J0816.4-1311 124.107 -13.1941 23.8 3.3256e-12 3.1033 3.3256e-12 3.1033 0.001444 0.046
J0816.4+5739 124.109 57.6644 25.1 1.0927e-12 2.4148 1.0927e-12 2.4148 0.002763 0.054
J0816.9+2050 124.236 20.8473 22.4 5.4010e-13 3.1066 5.4010e-13 3.1066 0.001446 0.058
J0818.2+4222 124.562 42.3767 16.2 1.1962e-11 3.2068 1.1962e-11 3.2068 0.000760 0.530
J0820.9+2353 125.234 23.892 24.9 6.7723e-13 1.7272 6.7723e-13 1.7272 0.003710 0.402
J0823.3+4043 125.835 40.723 14.8 1.2650e-12 3.2096 1.2650e-12 3.2096 0.000759 0.866
J0825.7+0311 126.446 3.19459 18.4 1.4349e-12 3.1065 1.4349e-12 3.1065 0.001446 0.506
J0825.9-2229 126.5 -22.4989 18.6 1.1982e-11 3.2062 1.1982e-11 3.2062 0.000761 0.910
